IMDB,Title,Year,Date,fulldate,month,justmonth,original,Type,status,season_number,Released,popular,popularity,imdbRating,imdbVotes,Rated,genretext,Genre,Runtime,number_of_episodes,Language,Country,budget,boxoffice,Plot,overview,stars,Actors,cast1,cast2,cast3,char1,char2,char3,directed_created,producedby,Director,created_by,production_companies,homepage,tmdb,poster_path,backdrop_path,poster,backdrop,netflix,IDs
tt0212346,Miss Congeniality,2000,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,12/22/2000,,23.5,6.3,"206,909",PG-13,Action,"Action, Comedy, Crime",109,,"English, Russian, French, Hawaiian, Spanish",United States,45000000,Not Available,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.","Sandra Bullock, Michael Caine and Benjamin Bratt","Sandra Bullock, Michael Caine, Benjamin Bratt",Sandra Bullock,Benjamin Bratt,Michael Caine,Gracie Hart,Eric Matthews,Victor Melling, directed by Donald Petrie.,"Miss Congeniality was produced by Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Warner Bros. Pictures, and Fortis Films, with a budget of [morph money=""45000000"" display=""usd abbr""] and was initially released on [datecalc date=""12/22/2000"" display=""mmmm d, yyyy""].",Donald Petrie,,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Warner Bros. Pictures, Fortis Films",#,1493,/pat3vKaRlB70he4ghwTMydR4TvP.jpg,/uQavwzKNMrR76hCG3QuI1ACSOML.jpg,tt0212346-poster.jpg,tt0212346-fanart.jpg,https://www.netflix.com/search?q=Miss Congeniality,1813
tt0243155,Bridget Jones's Diary,2001,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,4/13/2001,,23.596,6.7,"241,762",R,Comedy,"Comedy, Drama, Romance",97,,English,"United Kingdom, France, United States",25000000,Not Available,Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.","Renée Zellweger, Colin Firth and Hugh Grant","Renée Zellweger, Colin Firth, Hugh Grant",Renée Zellweger,Colin Firth,Hugh Grant,Bridget Rose Jones,Mark Fitzwilliam Darcy,Daniel Cleaver, directed by Sharon Maguire.,"Bridget Jones's Diary was produced by Working Title Films, and Little Bird, with a budget of [morph money=""25000000"" display=""usd abbr""] and was initially released on [datecalc date=""4/13/2001"" display=""mmmm d, yyyy""].",Sharon Maguire,,"Working Title Films, Little Bird",#,634,/dkauRl9TosBFikftrC3OVcKWDoz.jpg,/9WuJ3iHkCEm5jtxIRwRAp45QZjL.jpg,tt0243155-poster.jpg,tt0243155-fanart.jpg,https://www.netflix.com/search?q=Bridget Jones's Diary,1800
tt0298203,8 Mile,2002,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,11/8/2002,,36.467,7.1,"282,394",R,Drama,"Drama, Music",110,,English,"United States, Germany",Not available,Not Available,"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.","For Jimmy Smith, Jr. life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.","Eminem, Brittany Murphy and Kim Basinger","Eminem, Brittany Murphy, Kim Basinger",Eminem,Mekhi Phifer,Brittany Murphy,Jimmy B. 'Rabbit' Smith,David 'Future' Porter,Alex, directed by Curtis Hanson.,"8 Mile was produced by Imagine Entertainment, and Mikona Productions GmbH & Co. KG and was initially released on [datecalc date=""11/8/2002"" display=""mmmm d, yyyy""].",Curtis Hanson,,"Imagine Entertainment, Mikona Productions GmbH & Co. KG",https://www.uphe.com/movies/8-mile,65,/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,/bfccQmQWNFQYRv4PHgCnjDu7PXn.jpg,tt0298203-poster.jpg,tt0298203-fanart.jpg,https://www.netflix.com/search?q=8 Mile,1795
tt0316654,Spider-Man 2,2004,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,6/30/2004,,29.42,7.4,"637,577",PG-13,Action,"Action, Adventure, Sci-Fi",127,,"English, Russian, Chinese",United States,200000000,Not Available,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...","Tobey Maguire, Kirsten Dunst and Alfred Molina","Tobey Maguire, Kirsten Dunst, Alfred Molina",Tobey Maguire,Kirsten Dunst,James Franco,Spider-Man / Peter Parker,Mary Jane Watson,Harry Osborn, directed by Sam Raimi.,"Spider-Man 2 was produced by Laura Ziskin Productions, and Marvel Enterprises, with a budget of [morph money=""200000000"" display=""usd abbr""] and was initially released on [datecalc date=""6/30/2004"" display=""mmmm d, yyyy""].",Sam Raimi,,"Laura Ziskin Productions, Marvel Enterprises",https://www.sonypictures.com/movies/spiderman2,558,/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg,tt0316654-poster.jpg,tt0316654-fanart.jpg,https://www.netflix.com/search?q=Spider-Man 2,1821
tt0360486,Constantine,2005,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,2/18/2005,Popular,111.644,7,"338,085",R,Action,"Action, Fantasy, Horror",121,,"English, Filipino, Tagalog","United States, Germany",100000000,Not Available,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.","John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.","Keanu Reeves, Rachel Weisz and Djimon Hounsou","Keanu Reeves, Rachel Weisz, Djimon Hounsou",Keanu Reeves,Rachel Weisz,Shia LaBeouf,John Constantine,Angela Dodson / Isabel Dodson,Chas Kramer, directed by Francis Lawrence.,"Constantine was produced by Village Roadshow Pictures, Warner Bros. Pictures, DC Comics, Lonely Film Productions GmbH & Co. KG., The Donners' Company, Branded Entertainment/Batfilm Productions, Weed Road Pictures, 3 Art Entertainment, and Di Bonaventura Pictures, with a budget of [morph money=""100000000"" display=""usd abbr""] and was initially released on [datecalc date=""2/18/2005"" display=""mmmm d, yyyy""].",Francis Lawrence,,"Village Roadshow Pictures, Warner Bros. Pictures, DC Comics, Lonely Film Productions GmbH & Co. KG., The Donners' Company, Branded Entertainment/Batfilm Productions, Weed Road Pictures, 3 Art Entertainment, Di Bonaventura Pictures",http://constantinemovie.warnerbros.com/,561,/vPYgvd2MwHlxTamAOjwVQp4qs1W.jpg,/tIG8FwHRiHLOlWJdizp2oxdkSL2.jpg,tt0360486-poster.jpg,tt0360486-fanart.jpg,https://www.netflix.com/search?q=Constantine,1801
tt0369735,Monster-in-Law,2005,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,5/13/2005,,21.52,5.5,"61,359",PG-13,Comedy,"Comedy, Romance",101,,English,"United States, Germany",43000000,Not Available,"The love life of Charlotte is reduced to an endless string of disastrous blind dates, until she meets the perfect man, Kevin. Unfortunately, his merciless mother will do anything to destroy their relationship.","Office temp Charlotte Cantilini thinks she's found Mr. Right when she starts dating gorgeous surgeon Dr. Kevin Fields. But there's a problem standing in the way of everlasting bliss Kevin's overbearing and controlling mother, Viola. Fearing she'll lose her son's affections forever, Viola decides to break up the happy couple by becoming the world's worst mother-in-law.","Jennifer Lopez, Michael Vartan and Jane Fonda","Jennifer Lopez, Michael Vartan, Jane Fonda",Jennifer Lopez,Jane Fonda,Michael Vartan,Charlie Cantillini,Viola Fields,Kevin Fields, directed by Robert Luketic.,"Monster-in-Law was produced by New Line Cinema, Spring Creek Productions, BenderSpink, and Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG, with a budget of [morph money=""43000000"" display=""usd abbr""] and was initially released on [datecalc date=""5/13/2005"" display=""mmmm d, yyyy""].",Robert Luketic,,"New Line Cinema, Spring Creek Productions, BenderSpink, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG",#,4379,/6KCrzbraP4zC1439vDy0RAdjgDG.jpg,/FjqN9Aaqxd63Bfjoft6APu4Fua.jpg,tt0369735-poster.jpg,tt0369735-fanart.jpg,https://www.netflix.com/search?q=Monster-in-Law,1814
tt0413300,Spider-Man 3,2007,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,5/4/2007,,94.813,6.2,"580,248",PG-13,Action,"Action, Adventure, Sci-Fi",139,,"English, French",United States,258000000,Not Available,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","Tobey Maguire, Kirsten Dunst and Topher Grace","Tobey Maguire, Kirsten Dunst, Topher Grace",Tobey Maguire,Kirsten Dunst,James Franco,Spider-Man / Peter Parker,Mary Jane Watson,New Goblin / Harry Osborn, directed by Sam Raimi.,"Spider-Man 3 was produced by Laura Ziskin Productions, and Marvel Studios, with a budget of [morph money=""258000000"" display=""usd abbr""] and was initially released on [datecalc date=""5/4/2007"" display=""mmmm d, yyyy""].",Sam Raimi,,"Laura Ziskin Productions, Marvel Studios",https://www.sonypictures.com/movies/spiderman3,559,/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg,tt0413300-poster.jpg,tt0413300-fanart.jpg,https://www.netflix.com/search?q=Spider-Man 3,1822
tt0427152,Dinner for Schmucks,2010,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,7/30/2010,,24.273,5.9,"106,282",PG-13,Comedy,Comedy,114,,English,United States,69000000,Not Available,"After he finds out that his work superiors host a dinner celebrating the idiocy of their special guests, a rising executive questions the merits of his invitation just as he befriends a man who would be the perfect guest.","Rising executive Tim Conrad works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.","Steve Carell, Paul Rudd and Stephanie Szostak","Steve Carell, Paul Rudd, Stephanie Szostak",Steve Carell,Paul Rudd,Zach Galifianakis,Barry,Tim Conrad,Therman, directed by Jay Roach.,"Dinner for Schmucks was produced by Paramount, DreamWorks Pictures, Spyglass Entertainment, Everyman Pictures, Reliance Big Entertainment, and Parkes/MacDonald Productions, with a budget of [morph money=""69000000"" display=""usd abbr""] and was initially released on [datecalc date=""7/30/2010"" display=""mmmm d, yyyy""].",Jay Roach,,"Paramount, DreamWorks Pictures, Spyglass Entertainment, Everyman Pictures, Reliance Big Entertainment, Parkes/MacDonald Productions",http://www.dinnerforschmucks.com/,38778,/djwkUFhkM81gIsI9ZZ7I6ajZAKY.jpg,/2bNvoxVPyfiuNh7vmRvwePY5Paf.jpg,tt0427152-poster.jpg,tt0427152-fanart.jpg,https://www.netflix.com/search?q=Dinner for Schmucks,1802
tt0840361,The Town,2010,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,9/17/2010,Popular,112.463,7.5,"384,440",R,Crime,"Crime, Drama, Thriller",125,,English,United States,37000000,Not Available,"A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire.","Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.","Ben Affleck, Rebecca Hall and Jon Hamm","Ben Affleck, Rebecca Hall, Jon Hamm",Ben Affleck,Rebecca Hall,Jeremy Renner,Doug MacRay,Claire Keesey,James Coughlin, directed by Ben Affleck.,"The Town was produced by Warner Bros. Pictures, Legendary Pictures, GK Films, and Thunder Road, with a budget of [morph money=""37000000"" display=""usd abbr""] and was initially released on [datecalc date=""9/17/2010"" display=""mmmm d, yyyy""].",Ben Affleck,,"Warner Bros. Pictures, Legendary Pictures, GK Films, Thunder Road",http://thetownmovie.warnerbros.com/,23168,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,/owAe5rRStnX7ibVAPmza3NCXjCy.jpg,tt0840361-poster.jpg,tt0840361-fanart.jpg,https://www.netflix.com/search?q=The Town,1824
tt0866439,Made of Honor,2008,8/1/2022,"August 1, 2022",August 2022,August,,movie,Released,,5/2/2008,,14.823,5.8,"71,504",PG-13,Comedy,"Comedy, Romance",101,,"English, Gaelic","United States, United Kingdom",40000000,Not Available,A guy in love with an engaged woman tries to win her over after she asks him to be her maid of honor.,"Tom and Hannah have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her 'maid' of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her.","Patrick Dempsey, Michelle Monaghan and Kevin McKidd","Patrick Dempsey, Michelle Monaghan, Kevin McKidd",Patrick Dempsey,Michelle Monaghan,Kevin McKidd,Thomas 'Tom' Bailey,Hannah,Colin McMurray, directed by Paul Weiland.,"Made of Honor was produced by Columbia Pictures, and Original Film, with a budget of [morph money=""40000000"" display=""usd abbr""] and was initially released on [datecalc date=""5/2/2008"" display=""mmmm d, yyyy""].",Paul Weiland,,"Columbia Pictures, Original Film",#,10761,/pDg8D0jNqmz7RbCBgblWvmPswHE.jpg,/7FdY6kCnk2IOcH2EngyhHkYP1td.jpg,tt0866439-poster.jpg,tt0866439-fanart.jpg,https://www.netflix.com/search?q=Made of Honor,1809
